Approval (initials),Title,Slug,Status,Parent ID,SKU,Size,Visibility,Side,Product/Part Number,Hip Size,Upper Bar Thickness (mm),Depth (mm),Minimum Calf Size (in),Minimum Ankle Size (in),Length (in.),Length (mm),Minimum Patient Weight (kg),Maximum Patient Weight (kg),Patient Weight (kg),Build Height (inches),Build Height (mm.),Min. Distal Circumference (mm),Max Distal Circumference (mm),Min. Proximal Circumference (mm),Max Proximal Circumference (mm),Weight (oz.),Weight (g),Quantity,Width (in.),Width (mm),Height (in.),Height (mm),Weight Rating (lb.),Weight Limit (lbs.),Mount Height range (mm),Diameter (in.),Diameter (mm),Flexion,Material,Thread,Pyramid (mm),Pyramid Receiver (mm),Tube Clamp (mm),Through Hole,Plate Thickness (mm.),Socket Offset Distance (mm.),Compatible Foot,Categories,Tags,Colors,Attachments / Extras
,K2 Foot,,,2072,134-13R-24-B,24 cm,visible,Right,,,,,,,,,75,107,75-107 kg,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",CC 13,
,K2 Foot,,,2072,134-99L-24-B,24 cm,visible,Left,,,,,,,,,75,107,75-107 kg,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",CC 99,
,K2 Foot,,,2072,134-99R-24-B,24 cm,visible,Right,,,,,,,,,75,107,75-107 kg,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",CC 99,
,K2 Foot,,,2072,134-03L-24-C,24 cm,visible,Left,,,,,,,,,107,125,107-125 kg,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",CC 03,
,K2 Foot,,,2072,134-03R-24-C,24 cm,visible,Right,,,,,,,,,107,125,107-125 kg,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",CC 03,
,K2 Foot,,,2072,134-09L-24-C,24 cm,visible,Left,,,,,,,,,107,125,107-125 kg,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",CC 09,
,K2 Foot,,,2072,134-09R-24-C,24 cm,visible,Right,,,,,,,,,107,125,107-125 kg,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",CC 09,
,K2 Foot,,,2072,134-13L-24-C,24 cm,visible,Left,,,,,,,,,107,125,107-125 kg,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",CC 13,
,K2 Foot,,,2072,134-13R-24-C,24 cm,visible,Right,,,,,,,,,107,125,107-125 kg,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",CC 13,
,K2 Foot,,,2072,134-99L-24-C,24 cm,visible,Left,,,,,,,,,107,125,107-125 kg,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",CC 99,
,K2 Foot,,,2072,134-99R-24-C,24 cm,visible,Right,,,,,,,,,107,125,107-125 kg,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",CC 99,
,K2 Foot,,,2072,134-03L-24-D,24 cm,visible,Left,,,,,,,,,126,166,126-166 kg,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",CC 03,
,K2 Foot,,,2072,134-03R-24-D,24 cm,visible,Right,,,,,,,,,126,166,126-166 kg,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",CC 03,
,K2 Foot,,,2072,134-09L-24-D,24 cm,visible,Left,,,,,,,,,126,166,126-166 kg,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",CC 09,
,K2 Foot,,,2072,134-09R-24-D,24 cm,visible,Right,,,,,,,,,126,166,126-166 kg,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",CC 09,
,K2 Foot,,,2072,134-13L-24-D,24 cm,visible,Left,,,,,,,,,126,166,126-166 kg,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",CC 13,
,K2 Foot,,,2072,134-13R-24-D,24 cm,visible,Right,,,,,,,,,126,166,126-166 kg,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",CC 13,
,K2 Foot,,,2072,134-99L-24-D,24 cm,visible,Left,,,,,,,,,126,166,126-166 kg,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",CC 99,
,K2 Foot,,,2072,134-99R-24-D,24 cm,visible,Right,,,,,,,,,126,166,126-166 kg,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",CC 99,
,K2 Foot,,,2072,134-03L-25-B,25 cm,visible,Left,,,,,,,,,45,74,45-74,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",CC 03,
,K2 Foot,,,2072,134-03R-25-B,25 cm,visible,Right,,,,,,,,,45,74,45-74,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",CC 03,
,K2 Foot,,,2072,134-09L-25-B,25 cm,visible,Left,,,,,,,,,45,74,45-74,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",CC 09,
,K2 Foot,,,2072,134-09R-25-B,25 cm,visible,Right,,,,,,,,,45,74,45-74,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",CC 09,
,K2 Foot,,,2072,134-13L-25-B,25 cm,visible,Left,,,,,,,,,45,74,45-74,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",CC 13,
,K2 Foot,,,2072,134-13R-25-B,25 cm,visible,Right,,,,,,,,,45,74,45-74,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",CC 13,
,K2 Foot,,,2072,134-99L-25-B,25 cm,visible,Left,,,,,,,,,45,74,45-74,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",CC 99,
,K2 Foot,,,2072,134-99R-25-B,25 cm,visible,Right,,,,,,,,,45,74,45-74,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",CC 99,
,K2 Foot,,,2072,134-03L-25-C,25 cm,visible,Left,,,,,,,,,75,107,75-107 kg,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",CC 03,
,K2 Foot,,,2072,134-03R-25-C,25 cm,visible,Right,,,,,,,,,75,107,75-107 kg,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",CC 03,
,K2 Foot,,,2072,134-09L-25-C,25 cm,visible,Left,,,,,,,,,75,107,75-107 kg,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",CC 09,
,K2 Foot,,,2072,134-09R-25-C,25 cm,visible,Right,,,,,,,,,75,107,75-107 kg,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",CC 09,
,K2 Foot,,,2072,134-13L-25-C,25 cm,visible,Left,,,,,,,,,75,107,75-107 kg,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",CC 13,
,K2 Foot,,,2072,134-13R-25-C,25 cm,visible,Right,,,,,,,,,75,107,75-107 kg,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",CC 13,
,K2 Foot,,,2072,134-99L-25-C,25 cm,visible,Left,,,,,,,,,75,107,75-107 kg,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",CC 99,
,K2 Foot,,,2072,134-99R-25-C,25 cm,visible,Right,,,,,,,,,75,107,75-107 kg,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",CC 99,
,K2 Foot,,,2072,134-03L-25-D,25 cm,visible,Left,,,,,,,,,107,125,107-125 kg,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",CC 03,
,K2 Foot,,,2072,134-03R-25-D,25 cm,visible,Right,,,,,,,,,107,125,107-125 kg,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",CC 03,
,K2 Foot,,,2072,134-09L-25-D,25 cm,visible,Left,,,,,,,,,107,125,107-125 kg,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",CC 09,
,K2 Foot,,,2072,134-09R-25-D,25 cm,visible,Right,,,,,,,,,107,125,107-125 kg,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",CC 09,
,K2 Foot,,,2072,134-13L-25-D,25 cm,visible,Left,,,,,,,,,107,125,107-125 kg,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",CC 13,
,K2 Foot,,,2072,134-13R-25-D,25 cm,visible,Right,,,,,,,,,107,125,107-125 kg,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",CC 13,
,K2 Foot,,,2072,134-99L-25-D,25 cm,visible,Left,,,,,,,,,107,125,107-125 kg,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",CC 99,
,K2 Foot,,,2072,134-99R-25-D,25 cm,visible,Right,,,,,,,,,107,125,107-125 kg,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",CC 99,
,K2 Foot,,,2072,134-03L-25-E,25 cm,visible,Left,,,,,,,,,126,166,126-166 kg,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",CC 03,
,K2 Foot,,,2072,134-03R-25-E,25 cm,visible,Right,,,,,,,,,126,166,126-166 kg,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",CC 03,
,K2 Foot,,,2072,134-09L-25-E,25 cm,visible,Left,,,,,,,,,126,166,126-166 kg,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",CC 09,
,K2 Foot,,,2072,134-09R-25-E,25 cm,visible,Right,,,,,,,,,126,166,126-166 kg,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",CC 09,
,K2 Foot,,,2072,134-13L-25-E,25 cm,visible,Left,,,,,,,,,126,166,126-166 kg,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",CC 13,
,K2 Foot,,,2072,134-13R-25-E,25 cm,visible,Right,,,,,,,,,126,166,126-166 kg,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",CC 13,
,K2 Foot,,,2072,134-99L-25-E,25 cm,visible,Left,,,,,,,,,126,166,126-166 kg,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",CC 99,
,K2 Foot,,,2072,134-99R-25-E,25 cm,visible,Right,,,,,,,,,126,166,126-166 kg,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",CC 99,
,K2 Foot,,,2072,134-03L-26-B,26 cm,visible,Left,,,,,,,,,45,74,45-74,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",CC 03,
,K2 Foot,,,2072,134-03R-26-B,26 cm,visible,Right,,,,,,,,,45,74,45-74,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",CC 03,
,K2 Foot,,,2072,134-09L-26-B,26 cm,visible,Left,,,,,,,,,45,74,45-74,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",CC 09,
,K2 Foot,,,2072,134-09R-26-B,26 cm,visible,Right,,,,,,,,,45,74,45-74,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",CC 09,
,K2 Foot,,,2072,134-13L-26-B,26 cm,visible,Left,,,,,,,,,45,74,45-74,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",CC 13,
,K2 Foot,,,2072,134-13R-26-B,26 cm,visible,Right,,,,,,,,,45,74,45-74,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",CC 13,
,K2 Foot,,,2072,134-99L-26-B,26 cm,visible,Left,,,,,,,,,45,74,45-74,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",CC 99,
,K2 Foot,,,2072,134-99R-26-B,26 cm,visible,Right,,,,,,,,,45,74,45-74,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",CC 99,
,K2 Foot,,,2072,134-03L-26-C,26 cm,visible,Left,,,,,,,,,75,107,75-107 kg,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",CC 03,
,K2 Foot,,,2072,134-03R-26-C,26 cm,visible,Right,,,,,,,,,75,107,75-107 kg,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",CC 03,
,K2 Foot,,,2072,134-09L-26-C,26 cm,visible,Left,,,,,,,,,75,107,75-107 kg,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",CC 09,
,K2 Foot,,,2072,134-09R-26-C,26 cm,visible,Right,,,,,,,,,75,107,75-107 kg,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",CC 09,
,K2 Foot,,,2072,134-13L-26-C,26 cm,visible,Left,,,,,,,,,75,107,75-107 kg,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",CC 13,
,K2 Foot,,,2072,134-13R-26-C,26 cm,visible,Right,,,,,,,,,75,107,75-107 kg,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",CC 13,
,K2 Foot,,,2072,134-99L-26-C,26 cm,visible,Left,,,,,,,,,75,107,75-107 kg,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",CC 99,
,K2 Foot,,,2072,134-99R-26-C,26 cm,visible,Right,,,,,,,,,75,107,75-107 kg,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",CC 99,
,K2 Foot,,,2072,134-03L-26-D,26 cm,visible,Left,,,,,,,,,107,125,107-125 kg,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",CC 03,
,K2 Foot,,,2072,134-03R-26-D,26 cm,visible,Right,,,,,,,,,107,125,107-125 kg,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",CC 03,
,K2 Foot,,,2072,134-09L-26-D,26 cm,visible,Left,,,,,,,,,107,125,107-125 kg,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",CC 09,
,K2 Foot,,,2072,134-09R-26-D,26 cm,visible,Right,,,,,,,,,107,125,107-125 kg,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",CC 09,
,K2 Foot,,,2072,134-13L-26-D,26 cm,visible,Left,,,,,,,,,107,125,107-125 kg,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",CC 13,
,K2 Foot,,,2072,134-13R-26-D,26 cm,visible,Right,,,,,,,,,107,125,107-125 kg,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",CC 13,
,K2 Foot,,,2072,134-99L-26-D,26 cm,visible,Left,,,,,,,,,107,125,107-125 kg,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",CC 99,
,K2 Foot,,,2072,134-99R-26-D,26 cm,visible,Right,,,,,,,,,107,125,107-125 kg,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",CC 99,
,K2 Foot,,,2072,134-03L-26-E,26 cm,visible,Left,,,,,,,,,126,166,126-166 kg,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",CC 03,
,K2 Foot,,,2072,134-03R-26-E,26 cm,visible,Right,,,,,,,,,126,166,126-166 kg,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",CC 03,
,K2 Foot,,,2072,134-09L-26-E,26 cm,visible,Left,,,,,,,,,126,166,126-166 kg,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",CC 09,
,K2 Foot,,,2072,134-09R-26-E,26 cm,visible,Right,,,,,,,,,126,166,126-166 kg,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",CC 09,
,K2 Foot,,,2072,134-13L-26-E,26 cm,visible,Left,,,,,,,,,126,166,126-166 kg,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",CC 13,
,K2 Foot,,,2072,134-13R-26-E,26 cm,visible,Right,,,,,,,,,126,166,126-166 kg,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",CC 13,
,K2 Foot,,,2072,134-99L-26-E,26 cm,visible,Left,,,,,,,,,126,166,126-166 kg,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",CC 99,
,K2 Foot,,,2072,134-99R-26-E,26 cm,visible,Right,,,,,,,,,126,166,126-166 kg,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",CC 99,
,K2 Foot,,,2072,134-03L-27-B,27 cm,visible,Left,,,,,,,,,45,59,45-59 kg,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",CC 03,
,K2 Foot,,,2072,134-03R-27-B,27 cm,visible,Right,,,,,,,,,45,59,45-59 kg,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",CC 03,
,K2 Foot,,,2072,134-09L-27-B,27 cm,visible,Left,,,,,,,,,45,59,45-59 kg,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",CC 09,
,K2 Foot,,,2072,134-09R-27-B,27 cm,visible,Right,,,,,,,,,45,59,45-59 kg,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",CC 09,
,K2 Foot,,,2072,134-13L-27-B,27 cm,visible,Left,,,,,,,,,45,59,45-59 kg,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",CC 13,
,K2 Foot,,,2072,134-13R-27-B,27 cm,visible,Right,,,,,,,,,45,59,45-59 kg,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",CC 13,
,K2 Foot,,,2072,134-99L-27-B,27 cm,visible,Left,,,,,,,,,45,59,45-59 kg,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",CC 99,
,K2 Foot,,,2072,134-99R-27-B,27 cm,visible,Right,,,,,,,,,45,59,45-59 kg,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",CC 99,
,K2 Foot,,,2072,134-03L-27-C,27 cm,visible,Left,,,,,,,,,59,90,59-90 kg,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",CC 03,
,K2 Foot,,,2072,134-03R-27-C,27 cm,visible,Right,,,,,,,,,59,90,59-90 kg,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",CC 03,
,K2 Foot,,,2072,134-09L-27-C,27 cm,visible,Left,,,,,,,,,59,90,59-90 kg,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",CC 09,
,K2 Foot,,,2072,134-09R-27-C,27 cm,visible,Right,,,,,,,,,59,90,59-90 kg,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",CC 09,
,K2 Foot,,,2072,134-13L-27-C,27 cm,visible,Left,,,,,,,,,59,90,59-90 kg,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",CC 13,
,K2 Foot,,,2072,134-13R-27-C,27 cm,visible,Right,,,,,,,,,59,90,59-90 kg,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",CC 13,
,K2 Foot,,,2072,134-99L-27-C,27 cm,visible,Left,,,,,,,,,59,90,59-90 kg,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",CC 99,
,K2 Foot,,,2072,134-99R-27-C,27 cm,visible,Right,,,,,,,,,59,90,59-90 kg,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",CC 99,
,K2 Foot,,,2072,134-03L-27-D,27 cm,visible,Left,,,,,,,,,91,125,91-125 kg,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",CC 03,
,K2 Foot,,,2072,134-03R-27-D,27 cm,visible,Right,,,,,,,,,91,125,91-125 kg,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",CC 03,
,K2 Foot,,,2072,134-09L-27-D,27 cm,visible,Left,,,,,,,,,91,125,91-125 kg,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",CC 09,
,K2 Foot,,,2072,134-09R-27-D,27 cm,visible,Right,,,,,,,,,91,125,91-125 kg,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",CC 09,
,K2 Foot,,,2072,134-13L-27-D,27 cm,visible,Left,,,,,,,,,91,125,91-125 kg,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",CC 13,
,K2 Foot,,,2072,134-13R-27-D,27 cm,visible,Right,,,,,,,,,91,125,91-125 kg,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",CC 13,
,K2 Foot,,,2072,134-99L-27-D,27 cm,visible,Left,,,,,,,,,91,125,91-125 kg,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",CC 99,
,K2 Foot,,,2072,134-99R-27-D,27 cm,visible,Right,,,,,,,,,91,125,91-125 kg,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",CC 99,
,K2 Foot,,,2072,134-03L-27-E,27 cm,visible,Left,,,,,,,,,126,166,126-166 kg,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",CC 03,
,K2 Foot,,,2072,134-03R-27-E,27 cm,visible,Right,,,,,,,,,126,166,126-166 kg,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",CC 03,
,K2 Foot,,,2072,134-09L-27-E,27 cm,visible,Left,,,,,,,,,126,166,126-166 kg,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",CC 09,
,K2 Foot,,,2072,134-09R-27-E,27 cm,visible,Right,,,,,,,,,126,166,126-166 kg,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",CC 09,
,K2 Foot,,,2072,134-13L-27-E,27 cm,visible,Left,,,,,,,,,126,166,126-166 kg,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",CC 13,
